layer,head,head_id,correlation,rank
20,15,L20H15,0.738080686295789,1
21,11,L21H11,0.724712215882005,2
22,5,L22H5,0.7023695789210789,3
21,10,L21H10,0.6995991736667718,4
21,8,L21H8,0.6855117828643398,5
21,26,L21H26,0.6849945753826743,6
20,19,L20H19,0.6845719565932107,7
21,31,L21H31,0.6834342698032639,8
20,8,L20H8,0.6830764093761658,9
18,15,L18H15,0.6630143404064321,10
21,25,L21H25,0.6481585996253372,11
18,19,L18H19,0.6481253550113752,12
21,9,L21H9,0.6268125288790806,13
17,4,L17H4,0.6199637821553721,14
21,27,L21H27,0.6088226916649171,15
22,4,L22H4,0.607252327009237,16
20,4,L20H4,0.6056701398352193,17
21,4,L21H4,0.5982269948774779,18
18,21,L18H21,0.5978741477400764,19
21,28,L21H28,0.5891731333968602,20
20,18,L20H18,0.5864297423300102,21
18,14,L18H14,0.5821620218599813,22
20,13,L20H13,0.5690399988184233,23
20,21,L20H21,0.5656008309148566,24
17,24,L17H24,0.5643256952539389,25
23,10,L23H10,0.5600060609151376,26
18,5,L18H5,0.5597792968687562,27
17,5,L17H5,0.5538461561023535,28
20,16,L20H16,0.553211558912553,29
20,17,L20H17,0.5505227591200357,30
17,26,L17H26,0.5372387320103791,31
17,17,L17H17,0.5362474437932169,32
18,26,L18H26,0.5360194450838626,33
20,7,L20H7,0.5318171359340249,34
18,18,L18H18,0.5288127558195336,35
18,8,L18H8,0.5074310225658399,36
22,6,L22H6,0.5059670075638582,37
21,18,L21H18,0.5044756260054274,38
19,25,L19H25,0.502161158923717,39
19,31,L19H31,0.49817571112087833,40
20,20,L20H20,0.4968426504550957,41
17,27,L17H27,0.48530044770120806,42
21,16,L21H16,0.4846874760313744,43
21,30,L21H30,0.4818582147878449,44
22,2,L22H2,0.48085319411093924,45
18,30,L18H30,0.4798884663168287,46
20,14,L20H14,0.47727300622293745,47
20,23,L20H23,0.4669965149143219,48
21,29,L21H29,0.4653943396156783,49
19,2,L19H2,0.46505538733478036,50
20,10,L20H10,0.46500442921851526,51
17,7,L17H7,0.4636751387574325,52
18,27,L18H27,0.4623313049541296,53
19,12,L19H12,0.46102715766709707,54
19,28,L19H28,0.45617003874443646,55
21,24,L21H24,0.45436567592432225,56
13,10,L13H10,0.44641872173577307,57
17,1,L17H1,0.43901595857401876,58
19,3,L19H3,0.42811423085274863,59
18,17,L18H17,0.4246178719505419,60
21,19,L21H19,0.4214801076135366,61
19,27,L19H27,0.4173455237206049,62
15,11,L15H11,0.41194187956207706,63
19,24,L19H24,0.40848634940726003,64
20,9,L20H9,0.4021866909678871,65
20,29,L20H29,0.39986587176430904,66
22,8,L22H8,0.3990704010618757,67
13,1,L13H1,0.39754295395383543,68
19,26,L19H26,0.39156092892579003,69
22,0,L22H0,0.38213635387897715,70
15,9,L15H9,0.37730746694771566,71
18,22,L18H22,0.37623388498217514,72
15,8,L15H8,0.3751574730962979,73
18,23,L18H23,0.3749937128672637,74
17,15,L17H15,0.37434360590614474,75
19,13,L19H13,0.3723686504720597,76
20,30,L20H30,0.37176248069731643,77
16,16,L16H16,0.37051608256860946,78
17,13,L17H13,0.36320087143872826,79
17,6,L17H6,0.35856947911384457,80
19,30,L19H30,0.35837549300516913,81
19,14,L19H14,0.35717349737540066,82
18,24,L18H24,0.35712553712240375,83
17,18,L17H18,0.356986152288124,84
19,15,L19H15,0.3544176570703261,85
17,12,L17H12,0.3533983002655673,86
18,31,L18H31,0.3531520377793505,87
15,7,L15H7,0.3499490169526991,88
21,23,L21H23,0.3498132003110919,89
22,7,L22H7,0.3455057150175712,90
17,14,L17H14,0.3449924117775268,91
23,30,L23H30,0.3339242567631705,92
20,31,L20H31,0.33348471478561154,93
13,2,L13H2,0.3331802147728117,94
15,10,L15H10,0.3321370758312893,95
21,15,L21H15,0.33113287273915143,96
21,17,L21H17,0.3277603421301335,97
23,31,L23H31,0.31969467109060956,98
22,11,L22H11,0.30670866628960514,99
15,17,L15H17,0.30604905828000734,100
18,9,L18H9,0.3028587655679333,101
22,22,L22H22,0.3023120984848924,102
15,12,L15H12,0.3005593205885849,103
20,2,L20H2,0.2987133772993118,104
24,31,L24H31,0.2982071385639222,105
22,20,L22H20,0.298152442013609,106
18,25,L18H25,0.2970611051378853,107
24,29,L24H29,0.2968135300704654,108
22,1,L22H1,0.29523689511463236,109
19,0,L19H0,0.29373540172930845,110
18,29,L18H29,0.29316774947417146,111
23,13,L23H13,0.2931381706916977,112
18,7,L18H7,0.2869446535540966,113
18,0,L18H0,0.28551418607480555,114
15,16,L15H16,0.28378448519605365,115
21,13,L21H13,0.28280179591546856,116
18,16,L18H16,0.2822524880426844,117
18,10,L18H10,0.2818667641686104,118
24,19,L24H19,0.28065295220648745,119
14,12,L14H12,0.2772967667458231,120
17,16,L17H16,0.27412818708391173,121
18,2,L18H2,0.2734153952752167,122
15,2,L15H2,0.2733522836704519,123
20,6,L20H6,0.2709365920395304,124
19,29,L19H29,0.2701696556081399,125
20,28,L20H28,0.26884615584542476,126
16,7,L16H7,0.2687966386574747,127
26,31,L26H31,0.26658065333088754,128
18,28,L18H28,0.2635119893912021,129
18,6,L18H6,0.2627223490078558,130
21,5,L21H5,0.2624186884828153,131
